codigo,tipo,nombre,direccion,comuna_codigo,comuna,region_codigo,region,servicio_salud,dependencia
113320,CESFAM,Centro de Salud Familiar Dragica Ciudad Pap,Calle Bellavista,13402,Buin,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur,Municipal
110425,CESFAM,Centro de Salud Familiar La Islita,"Calle Río Maipo, Villa El Maitén, La Islita 4517",13603,Isla de Maipo,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Occidente,Municipal
110470,PSR,Posta de Salud Rural Las Mercedes ( María Pinto ),Calle Aldea Las Mercedes,13504,Maria Pinto,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Occidente,Municipal
200385,CECOSF,Centro Comunitario de Salud Familiar San Vicente de Naltagua,Avenida San Antonio de Naltagua 7603,13603,Isla de Maipo,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Occidente,Municipal
114333,CGR,Centro de Salud Rural El Principal,Calle La Alameda 113,13202,Pirque,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur Oriente,Municipal
113790,CECOSF,Centro Comunitario de Salud Familiar Dr. Héctor García,Avenida Nuevo Buin Poniente Exclemencia Sazo 1591,13402,Buin,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur,Municipal
110492,PSR,Posta de Salud Rural Nihue,Calle Camino público de la Manga a Nihue Alto S/N,13505,San Pedro,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Occidente,Municipal
110379,CESFAM,Centro de Salud Familiar Dr. Francisco Boris Soler,Calle Silvia Chávez 1650,13501,Melipilla,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Occidente,Municipal
113406,PSR,Posta de Salud Rural El Recurso,"Calle Camino Público Fundo Recurso, Aldea El Recurso",13402,Buin,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur,Municipal
110625,COSAM,COSAM Melipilla,Calle Pardo 830,13501,Melipilla,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Occidente,Municipal
200454,CECOSF,CECOSF Wilma Yoli Gomez Conejera,"Pasaje Los Plátanos, Villa Los Álamos 3 1214",13602,El Monte,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Occidente,Municipal
200965,CESFAM,Centro de Salud Familiar Florencia,Calle Libertad 1923,13501,Melipilla,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Occidente,Municipal
110370,CESFAM,Centro de Salud Familiar El Monte,Avenida Avda. Los Libertadores 531,13602,El Monte,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Occidente,Municipal
110378,CESFAM,Centro de Salud Familiar Dr. Edelberto Elgueta,Calle Arza 1576,13501,Melipilla,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Occidente,Municipal
110781,CECOSF,Centro Comunitario de Salud Familiar Obispo Pablo Lizama,Calle Guillermo Vera 2091,13501,Melipilla,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Occidente,Municipal
200365,CECOSF,Centro Comunitario de Salud Familiar Villa Los Presidentes,"Avenida Salvador Allende, Villa Los Presidentes 1100",13601,Talagante,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Occidente,Municipal
110778,CECOSF,Centro Comunitario de Salud Familiar Padre Demetrio Bravo,Calle Ignacio Carrera Pinto 60,13501,Melipilla,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Occidente,Municipal
114403,PSR,Posta de Salud Rural Santa Rita,Calle Camino Las Rozas,13202,Pirque,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur Oriente,Municipal
114612,COSAM,COSAM Pirque,Calle Camino las Rozas,13202,Pirque,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur Oriente,Municipal
113407,PSR,Posta de Salud Rural Los Morros,"Calle Camino Padre Hurtado, Sector Los Morros",13402,Buin,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur,Municipal
